latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
47.62075,35.71787,344.94,0.52,0.5,2023-02-24,1106,N,VIIRS,n,2.0NRT,269.52,7.75,D
47.62539,35.71723,346.47,0.52,0.5,2023-02-24,1106,N,VIIRS,n,2.0NRT,270.09,10.37,D
47.62121,35.72485,342.11,0.52,0.5,2023-02-24,1106,N,VIIRS,n,2.0NRT,270.35,7.75,D
48.35887,26.45906,333.73,0.39,0.36,2023-02-24,1106,N,VIIRS,n,2.0NRT,287.93,20.62,D
48.35557,26.46012,334.18,0.39,0.36,2023-02-24,1106,N,VIIRS,n,2.0NRT,274.25,20.62,D
48.35813,26.45385,336.96,0.39,0.36,2023-02-24,1106,N,VIIRS,n,2.0NRT,274.08,20.62,D
50.54358,26.26299,301.2,0.47,0.4,2023-02-28,0005,N,VIIRS,n,2.0NRT,269.88,0.9,N
46.31718,31.98799,336.38,0.34,0.56,2023-02-28,0949,N,VIIRS,n,2.0NRT,282.5,4.52,D
46.31256,31.98202,331.66,0.33,0.56,2023-02-28,1132,N,VIIRS,n,2.0NRT,280.16,3.02,D
47.63041,34.32697,342.09,0.44,0.62,2023-02-28,1132,N,VIIRS,n,2.0NRT,282.56,4.5,D
48.51947,34.63032,302.04,0.39,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,272.69,0.81,N
48.58626,37.99412,301.6,0.41,0.37,2023-02-28,2345,N,VIIRS,n,2.0NRT,270,0.7,N
48.47119,34.63015,307.65,0.39,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,271.57,1.73,N
47.8701,35.16238,299.64,0.38,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,271.16,0.74,N
47.86517,35.14994,308.83,0.38,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,274.25,1.71,N
47.85945,35.14257,296.8,0.38,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,271.49,1.39,N
48.05918,37.9553,304.16,0.41,0.37,2023-02-28,2345,N,VIIRS,n,2.0NRT,270.23,1.14,N
47.87494,33.41191,297.38,0.39,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,271.93,0.74,N
47.87419,33.41714,297.5,0.39,0.36,2023-02-28,2345,N,VIIRS,n,2.0NRT,272.65,0.74,N
